[2020-02-13 21:20:58,308] [error_handler.py:23] [error_handler:process_exception] [ERROR]- <flowmeter.views.common.Result object at 0x00000152CB59B898>
[2020-02-13 21:21:40,595] [error_handler.py:22] [error_handler:process_exception] [ERROR]- [Errno 2] No such file or directory: 'D:\\project\\python\\flowmeter\\tmp\\c53b51a4-4e63-11ea-a4e5-00d861f9f354'
[2020-02-13 21:27:46,075] [error_handler.py:22] [error_handler:process_exception] [ERROR]- [Errno 13] Permission denied: 'D:\\project\\python\\flowmeter\\tmp\\9f10e8f4-4e64-11ea-9f52-00d861f9f354'
[2020-02-13 21:29:55,621] [error_handler.py:22] [error_handler:process_exception] [ERROR]- [Errno 13] Permission denied: 'D:\\project\\python\\flowmeter\\tmp\\ec4a39de-4e64-11ea-8d5d-00d861f9f354'
[2020-02-13 23:27:50,408] [error_handler.py:22] [error_handler:process_exception] [ERROR]- 'NoneType' object has no attribute 'chunks'
[2020-02-13 23:28:39,829] [error_handler.py:22] [error_handler:process_exception] [ERROR]- 'NoneType' object has no attribute 'chunks'
[2020-02-13 23:30:21,963] [error_handler.py:22] [error_handler:process_exception] [ERROR]- 'NoneType' object has no attribute 'chunks'
[2020-02-13 23:32:07,225] [error_handler.py:22] [error_handler:process_exception] [ERROR]- 'NoneType' object has no attribute 'chunks'
[2020-02-13 23:32:30,863] [error_handler.py:22] [error_handler:process_exception] [ERROR]- 'NoneType' object has no attribute 'chunks'
[2020-02-13 23:37:16,440] [error_handler.py:22] [error_handler:process_exception] [ERROR]- 'NoneType' object has no attribute 'chunks'
[2020-02-13 23:37:31,884] [error_handler.py:22] [error_handler:process_exception] [ERROR]- 'NoneType' object has no attribute 'chunks'
[2020-02-13 23:38:15,065] [error_handler.py:22] [error_handler:process_exception] [ERROR]- 'NoneType' object has no attribute 'chunks'
[2020-02-13 23:38:29,278] [error_handler.py:22] [error_handler:process_exception] [ERROR]- 'NoneType' object has no attribute 'chunks'
[2020-02-13 23:39:03,546] [error_handler.py:22] [error_handler:process_exception] [ERROR]- 'NoneType' object has no attribute 'chunks'
[2020-02-13 23:40:01,357] [error_handler.py:22] [error_handler:process_exception] [ERROR]- 'NoneType' object has no attribute 'chunks'
[2020-02-13 23:40:18,715] [error_handler.py:22] [error_handler:process_exception] [ERROR]- 'NoneType' object has no attribute 'chunks'
[2020-02-13 23:40:57,772] [error_handler.py:22] [error_handler:process_exception] [ERROR]- 'NoneType' object has no attribute 'chunks'
[2020-02-13 23:42:30,673] [error_handler.py:22] [error_handler:process_exception] [ERROR]- 'NoneType' object has no attribute 'chunks'
