[2020-05-03 18:23:27,100] [task.py:69] [task:exec_remote_opr] [ERROR]- 
[2020-05-03 18:23:37,224] [task.py:69] [task:exec_remote_opr] [ERROR]- 
[2020-05-03 20:10:03,512] [task.py:77] [task:exec_remote_opr] [ERROR]- Error 10049 connecting to 0.0.0.0:6379. [WinError 10049] 在其上下文中，该请求的地址无效。.
[2020-05-03 20:10:13,537] [task.py:77] [task:exec_remote_opr] [ERROR]- Error 10049 connecting to 0.0.0.0:6379. [WinError 10049] 在其上下文中，该请求的地址无效。.
[2020-05-03 20:10:23,561] [task.py:77] [task:exec_remote_opr] [ERROR]- Error 10049 connecting to 0.0.0.0:6379. [WinError 10049] 在其上下文中，该请求的地址无效。.
[2020-05-03 20:10:33,585] [task.py:77] [task:exec_remote_opr] [ERROR]- Error 10049 connecting to 0.0.0.0:6379. [WinError 10049] 在其上下文中，该请求的地址无效。.
[2020-05-03 20:10:43,609] [task.py:77] [task:exec_remote_opr] [ERROR]- Error 10049 connecting to 0.0.0.0:6379. [WinError 10049] 在其上下文中，该请求的地址无效。.
[2020-05-03 20:10:53,637] [task.py:77] [task:exec_remote_opr] [ERROR]- Error 10049 connecting to 0.0.0.0:6379. [WinError 10049] 在其上下文中，该请求的地址无效。.
[2020-05-03 20:11:03,665] [task.py:77] [task:exec_remote_opr] [ERROR]- Error 10049 connecting to 0.0.0.0:6379. [WinError 10049] 在其上下文中，该请求的地址无效。.
[2020-05-03 20:11:13,690] [task.py:77] [task:exec_remote_opr] [ERROR]- Error 10049 connecting to 0.0.0.0:6379. [WinError 10049] 在其上下文中，该请求的地址无效。.
[2020-05-03 20:11:23,718] [task.py:77] [task:exec_remote_opr] [ERROR]- Error 10049 connecting to 0.0.0.0:6379. [WinError 10049] 在其上下文中，该请求的地址无效。.
