[2020-02-24 00:01:01,638] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:01:06,941] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:02:08,094] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:02:08,990] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 00:02:10,187] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 00:02:11,049] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:02:12,227] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 00:02:13,973] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:02:14,115] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:02:14,509] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:02:14,690] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:02:14,851] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:02:15,031] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:02:37,722] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:02:38,303] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:02:38,500] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:02:39,360] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:02:39,477] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:02:40,030] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:02:40,368] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:02:40,553] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:02:41,048] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:02:41,156] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:02:41,255] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:02:41,422] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:02:42,481] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:02:42,880] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:02:43,455] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:02:44,487] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:02:45,050] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:02:45,442] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:02:46,313] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:02:46,843] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:02:47,273] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:02:47,643] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:02:47,849] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:02:55,883] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：create_manufacturer
[2020-02-24 00:02:57,241] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:03:12,294] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:12,871] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:13,219] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:13,436] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:13,604] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:13,760] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:13,912] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:14,061] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:14,208] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:14,361] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:14,575] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:14,856] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:15,293] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:15,452] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:15,606] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:15,769] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:15,940] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:16,094] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
