[2020-03-22 00:07:02,428] [server.py:130] [server:dataReceived] [INFO]- ip: 127.0.0.1，发送了b'\x00'数据帧
[2020-03-22 00:10:20,382] [server.py:130] [server:dataReceived] [INFO]- ip: 127.0.0.1，发送了b'\x00'数据帧
[2020-03-22 00:10:46,402] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-22 00:10:46,418] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_opr_log
[2020-03-22 00:10:46,437] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_configure
[2020-03-22 00:10:46,443] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_control_register
[2020-03-22 00:10:46,451] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-22 00:10:46,453] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_system_log
[2020-03-22 00:10:46,474] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_data_field
[2020-03-22 00:10:46,494] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_alarm_log
[2020-03-22 00:10:46,496] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_region
[2020-03-22 00:10:46,511] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-22 00:10:46,543] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-22 00:10:46,545] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-22 00:10:46,547] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
[2020-03-22 00:10:46,578] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-22 00:10:46,584] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-22 00:10:46,615] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-22 00:10:50,192] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
[2020-03-22 00:10:50,582] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-22 00:10:50,585] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-22 00:10:50,586] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-22 00:10:50,919] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-22 00:10:50,920] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-22 00:12:14,073] [server.py:130] [server:dataReceived] [INFO]- ip: 127.0.0.1，发送了b'\x00'数据帧
[2020-03-22 00:14:08,657] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-22 00:14:08,694] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_opr_log
[2020-03-22 00:14:08,708] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_configure
[2020-03-22 00:14:08,719] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_control_register
[2020-03-22 00:14:08,731] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_region
[2020-03-22 00:14:08,741] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_data_field
[2020-03-22 00:14:08,744] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
[2020-03-22 00:14:08,758] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-22 00:14:08,760] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_alarm_log
[2020-03-22 00:14:08,775] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-22 00:14:08,780] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_system_log
[2020-03-22 00:14:08,793] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-22 00:14:08,802] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
