[2020-04-02 17:52:11,969] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：login
[2020-04-02 17:52:13,611] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-04-02 17:52:13,631] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-04-02 17:52:13,641] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-04-02 17:52:13,659] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_opr_log
[2020-04-02 17:52:13,665] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-04-02 17:52:13,667] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-04-02 17:52:13,673] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-04-02 17:52:13,680] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-04-02 17:52:13,683] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
[2020-04-02 17:52:13,718] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_region
[2020-04-02 17:52:13,750] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-04-02 17:52:15,119] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
[2020-04-02 18:23:04,123] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_role_auth
[2020-04-02 18:23:04,244] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
[2020-04-02 18:24:06,689] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_role_auth
[2020-04-02 18:24:06,807] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
[2020-04-02 18:24:17,348] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_role_auth
[2020-04-02 18:24:17,461] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
[2020-04-02 18:24:23,643] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-04-02 18:24:23,659] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-04-02 18:24:23,679] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-04-02 18:24:23,970] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
